  └─ debt=0.35 res=0.88 ent=0.57 emg=0.38 B:8 H:2 F:6 A:17 V:14 T:0
  └─ debt=0.71 res=0.87 ent=0.30 emg=0.61 B:8 H:2 F:11 A:19 V:14 T:0
  └─ debt=0.69 res=0.95 ent=0.10 emg=0.85 B:8 H:3 F:12 A:36 V:15 T:0
  └─ debt=0.68 res=0.86 ent=0.28 emg=0.62 B:8 H:2 F:18 A:31 V:14 T:0
  └─ debt=0.67 res=0.86 ent=0.31 emg=0.60 B:8 H:2 F:23 A:31 V:14 T:0
  └─ debt=0.74 res=0.95 ent=0.10 emg=0.85 B:8 H:2 F:23 A:44 V:15 T:0
  └─ debt=0.72 res=0.86 ent=0.28 emg=0.62 B:8 H:2 F:21 A:37 V:15 T:0
  └─ debt=0.72 res=0.68 ent=0.68 emg=0.22 B:8 H:2 F:39 A:41 V:15 T:0
  └─ debt=1.01 res=0.86 ent=0.36 emg=0.55 B:8 H:3 F:40 A:42 V:17 T:0
  └─ debt=1.06 res=0.95 ent=0.10 emg=0.85 B:8 H:3 F:42 A:43 V:17 T:0
  └─ debt=1.08 res=0.95 ent=0.10 emg=0.85 B:8 H:2 F:38 A:41 V:13 T:0
  └─ debt=1.06 res=0.85 ent=0.28 emg=0.61 B:8 H:2 F:38 A:46 V:16 T:0
  └─ debt=1.04 res=0.95 ent=0.10 emg=0.85 B:10 H:3 F:37 A:54 V:17 T:0
  └─ debt=1.02 res=0.85 ent=0.28 emg=0.61 B:8 H:2 F:38 A:37 V:15 T:0
  └─ debt=1.00 res=0.85 ent=0.31 emg=0.59 B:8 H:2 F:40 A:42 V:13 T:0
  └─ debt=1.28 res=0.95 ent=0.10 emg=0.85 B:8 H:2 F:37 A:36 V:15 T:0
  └─ debt=1.26 res=0.84 ent=0.28 emg=0.61 B:8 H:3 F:31 A:40 V:15 T:0
  └─ debt=1.52 res=0.84 ent=0.31 emg=0.58 B:8 H:2 F:29 A:49 V:16 T:0
  └─ debt=1.49 res=0.83 ent=0.31 emg=0.57 B:8 H:2 F:31 A:47 V:18 T:0
  └─ debt=1.54 res=0.95 ent=0.10 emg=0.85 B:8 H:3 F:30 A:45 V:17 T:0
  └─ debt=1.95 res=0.95 ent=0.10 emg=0.85 B:8 H:3 F:30 A:46 V:15 T:0
  └─ debt=2.20 res=0.82 ent=0.28 emg=0.59 B:8 H:3 F:29 A:46 V:18 T:0
  └─ debt=2.16 res=0.93 ent=0.10 emg=0.84 B:8 H:3 F:28 A:60 V:19 T:0
  └─ debt=2.12 res=0.82 ent=0.28 emg=0.58 B:8 H:2 F:26 A:52 V:16 T:0
  └─ debt=2.07 res=0.82 ent=0.32 emg=0.55 B:8 H:3 F:27 A:43 V:14 T:0
  └─ debt=2.03 res=0.94 ent=0.10 emg=0.84 B:8 H:4 F:32 A:49 V:16 T:0
  └─ debt=1.99 res=0.82 ent=0.28 emg=0.59 B:8 H:4 F:30 A:44 V:15 T:0
  └─ debt=2.07 res=0.82 ent=0.32 emg=0.56 B:8 H:3 F:27 A:43 V:17 T:0
  └─ debt=2.03 res=0.82 ent=0.32 emg=0.56 B:8 H:3 F:25 A:42 V:19 T:0
  └─ debt=2.54 res=0.82 ent=0.32 emg=0.56 B:11 H:3 F:23 A:37 V:17 T:0
  └─ debt=2.49 res=0.92 ent=0.10 emg=0.83 B:8 H:3 F:15 A:46 V:15 T:0
  └─ debt=2.71 res=0.81 ent=0.29 emg=0.57 B:8 H:2 F:18 A:42 V:18 T:0
  └─ debt=3.03 res=0.92 ent=0.10 emg=0.83 B:8 H:4 F:24 A:46 V:19 T:0
  └─ debt=2.97 res=0.79 ent=0.29 emg=0.56 B:8 H:3 F:24 A:49 V:17 T:0
  └─ debt=2.91 res=0.79 ent=0.33 emg=0.53 B:8 H:4 F:22 A:38 V:14 T:0
  └─ debt=2.85 res=0.91 ent=0.10 emg=0.82 B:8 H:4 F:23 A:52 V:16 T:0
  └─ debt=2.79 res=0.79 ent=0.29 emg=0.56 B:8 H:3 F:25 A:42 V:16 T:0
  └─ debt=2.74 res=0.80 ent=0.33 emg=0.54 B:8 H:4 F:25 A:44 V:17 T:0
  └─ debt=2.68 res=0.80 ent=0.33 emg=0.54 B:8 H:3 F:26 A:53 V:19 T:0
  └─ debt=2.63 res=0.80 ent=0.33 emg=0.54 B:8 H:4 F:26 A:36 V:17 T:0
  └─ debt=2.57 res=0.80 ent=0.33 emg=0.54 B:8 H:3 F:26 A:30 V:16 T:0
  └─ debt=2.80 res=0.80 ent=0.32 emg=0.54 B:8 H:4 F:26 A:34 V:18 T:0
  └─ debt=3.18 res=0.92 ent=0.10 emg=0.82 B:8 H:3 F:27 A:55 V:19 T:0
  └─ debt=3.12 res=0.78 ent=0.29 emg=0.56 B:8 H:3 F:25 A:49 V:17 T:0
  └─ debt=3.06 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:24 A:46 V:14 T:0
  └─ debt=2.99 res=0.79 ent=0.33 emg=0.53 B:19 H:4 F:25 A:41 V:16 T:0
  └─ debt=2.93 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:24 A:37 V:16 T:0
  └─ debt=2.88 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:23 A:32 V:17 T:0
  └─ debt=2.82 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:24 A:37 V:19 T:0
  └─ debt=2.76 res=0.92 ent=0.10 emg=0.82 B:8 H:3 F:19 A:54 V:17 T:0
  └─ debt=2.90 res=0.92 ent=0.10 emg=0.83 B:8 H:4 F:20 A:65 V:16 T:0
  └─ debt=3.07 res=0.79 ent=0.29 emg=0.56 B:8 H:3 F:21 A:48 V:19 T:0
  └─ debt=3.45 res=0.91 ent=0.10 emg=0.82 B:8 H:3 F:22 A:48 V:19 T:0
  └─ debt=3.38 res=0.78 ent=0.29 emg=0.55 B:8 H:3 F:21 A:45 V:17 T:0
  └─ debt=3.31 res=0.78 ent=0.33 emg=0.52 B:8 H:3 F:20 A:46 V:14 T:0
  └─ debt=3.25 res=0.90 ent=0.10 emg=0.81 B:16 H:4 F:19 A:53 V:16 T:0
  └─ debt=3.18 res=0.78 ent=0.29 emg=0.55 B:8 H:4 F:19 A:46 V:16 T:0
  └─ debt=3.12 res=0.78 ent=0.33 emg=0.53 B:8 H:3 F:19 A:36 V:17 T:0
  └─ debt=3.06 res=0.79 ent=0.33 emg=0.53 B:8 H:3 F:19 A:50 V:19 T:0
