voice	prompt	temp	topk	rp	bytes	tok_per_s	toks
leo	1	0.3	40	1.0	1057	9.1	24
leo	1	0.3	40	1.3	836	3.7	24
leo	1	0.3	40	1.4	828	3.4	24
leo	1	0.3	0	1.0	1056	9.0	24
leo	1	0.3	0	1.3	835	3.6	24
leo	1	0.3	0	1.4	827	3.5	24
leo	1	0.5	40	1.0	813	3.2	24
leo	1	0.5	40	1.3	851	4.6	24
leo	1	0.5	40	1.4	832	3.8	24
leo	1	0.5	0	1.0	812	3.3	24
leo	1	0.5	0	1.3	850	4.8	24
leo	1	0.5	0	1.4	831	4.0	24
leo	1	0.7	40	1.0	883	6.8	24
leo	1	0.7	40	1.3	803	3.7	24
leo	1	0.7	40	1.4	1055	6.3	24
leo	1	0.7	0	1.0	1040	9.9	24
leo	1	0.7	0	1.3	1021	10.0	24
leo	1	0.7	0	1.4	1038	8.3	24
leo	1	0.8	40	1.0	904	6.7	24
leo	1	0.8	40	1.3	791	0.6	24
leo	1	0.8	40	1.4	829	3.5	24
leo	1	0.8	0	1.0	850	4.7	24
leo	1	0.8	0	1.3	910	5.6	24
leo	1	0.8	0	1.4	929	8.7	24
leo	1	0.9	40	1.0	827	2.8	24
leo	1	0.9	40	1.3	847	3.5	24
leo	1	0.9	40	1.4	985	8.2	24
leo	1	0.9	0	1.0	777	1.0	24
leo	1	0.9	0	1.3	1061	9.1	24
leo	1	0.9	0	1.4	820	3.1	24
leo	1	1.0	40	1.0	1076	8.8	24
leo	1	1.0	40	1.3	927	6.1	24
leo	1	1.0	40	1.4	797	1.5	24
leo	1	1.0	0	1.0	1008	9.5	24
leo	1	1.0	0	1.3	927	5.7	24
leo	1	1.0	0	1.4	874	5.0	24
leo	2	0.3	40	1.0	979	8.3	23
leo	2	0.3	40	1.3	1029	8.2	23
leo	2	0.3	40	1.4	848	0.7	23
leo	2	0.3	0	1.0	978	8.7	23
leo	2	0.3	0	1.3	1028	8.6	23
leo	2	0.3	0	1.4	847	0.9	23
leo	2	0.5	40	1.0	970	6.5	23
leo	2	0.5	40	1.3	1056	8.6	23
leo	2	0.5	40	1.4	952	4.8	23
leo	2	0.5	0	1.0	969	6.6	23
leo	2	0.5	0	1.3	1055	8.7	23
leo	2	0.5	0	1.4	951	5.1	23
leo	2	0.7	40	1.0	844	0.6	23
leo	2	0.7	40	1.3	864	1.4	23
leo	2	0.7	40	1.4	868	0.8	23
leo	2	0.7	0	1.0	843	0.6	23
leo	2	0.7	0	1.3	863	1.4	23
leo	2	0.7	0	1.4	867	1.2	23
leo	2	0.8	40	1.0	832	1.4	23
leo	2	0.8	40	1.3	814	1.9	23
leo	2	0.8	40	1.4	814	1.9	23
leo	2	0.8	0	1.0	1051	7.0	23
leo	2	0.8	0	1.3	898	4.8	23
leo	2	0.8	0	1.4	920	5.3	23
leo	2	0.9	40	1.0	1060	8.0	23
leo	2	0.9	40	1.3	829	1.1	23
leo	2	0.9	40	1.4	1091	8.1	23
leo	2	0.9	0	1.0	926	3.8	23
leo	2	0.9	0	1.3	825	0.3	23
leo	2	0.9	0	1.4	1105	8.4	23
leo	2	1.0	40	1.0	1076	8.1	23
leo	2	1.0	40	1.3	985	5.9	23
leo	2	1.0	40	1.4	811	1.3	23
leo	2	1.0	0	1.0	1063	8.5	23
leo	2	1.0	0	1.3	866	1.9	23
leo	2	1.0	0	1.4	843	0.0	23
leo	3	0.3	40	1.0	881	7.2	25
leo	3	0.3	40	1.3	823	4.6	25
leo	3	0.3	40	1.4	776	2.8	25
leo	3	0.3	0	1.0	880	7.3	25
leo	3	0.3	0	1.3	822	4.8	25
leo	3	0.3	0	1.4	775	2.9	25
leo	3	0.5	40	1.0	874	7.3	25
leo	3	0.5	40	1.3	758	2.6	25
leo	3	0.5	40	1.4	950	9.7	25
leo	3	0.5	0	1.0	873	7.8	25
leo	3	0.5	0	1.3	757	2.6	25
leo	3	0.5	0	1.4	949	9.7	25
leo	3	0.7	40	1.0	828	6.6	25
leo	3	0.7	40	1.3	1085	9.7	25
leo	3	0.7	40	1.4	804	3.7	25
leo	3	0.7	0	1.0	827	6.7	25
leo	3	0.7	0	1.3	1084	9.5	25
leo	3	0.7	0	1.4	756	1.4	25
leo	3	0.8	40	1.0	876	7.6	25
leo	3	0.8	40	1.3	823	5.0	25
leo	3	0.8	40	1.4	987	9.4	25
leo	3	0.8	0	1.0	739	2.4	25
leo	3	0.8	0	1.3	953	9.9	25
leo	3	0.8	0	1.4	986	9.7	25
leo	3	0.9	40	1.0	896	7.4	25
leo	3	0.9	40	1.3	935	8.2	25
leo	3	0.9	40	1.4	854	6.0	25
leo	3	0.9	0	1.0	965	9.8	25
leo	3	0.9	0	1.3	894	5.5	25
leo	3	0.9	0	1.4	996	10.1	25
leo	3	1.0	40	1.0	779	3.8	25
leo	3	1.0	40	1.3	1034	7.2	25
leo	3	1.0	40	1.4	793	4.9	25
leo	3	1.0	0	1.0	781	2.4	25
leo	3	1.0	0	1.3	1048	10.3	25
leo	3	1.0	0	1.4	752	0.0	25
arianna	1	0.3	40	1.0	960	8.4	24
arianna	1	0.3	40	1.3	965	9.3	24
arianna	1	0.3	40	1.4	916	9.5	24
arianna	1	0.3	0	1.0	959	8.9	24
arianna	1	0.3	0	1.3	964	9.6	24
arianna	1	0.3	0	1.4	915	9.7	24
arianna	1	0.5	40	1.0	973	9.4	24
arianna	1	0.5	40	1.3	866	7.3	24
arianna	1	0.5	40	1.4	866	7.3	24
arianna	1	0.5	0	1.0	972	9.8	24
arianna	1	0.5	0	1.3	865	7.6	24
arianna	1	0.5	0	1.4	865	7.6	24
arianna	1	0.7	40	1.0	1031	9.5	24
arianna	1	0.7	40	1.3	871	6.5	24
arianna	1	0.7	40	1.4	1011	9.3	24
arianna	1	0.7	0	1.0	979	8.9	24
arianna	1	0.7	0	1.3	1026	9.3	24
arianna	1	0.7	0	1.4	918	7.2	24
arianna	1	0.8	40	1.0	962	8.5	24
arianna	1	0.8	40	1.3	973	9.3	24
arianna	1	0.8	40	1.4	1044	9.1	24
arianna	1	0.8	0	1.0	992	9.0	24
arianna	1	0.8	0	1.3	1039	9.4	24
arianna	1	0.8	0	1.4	897	7.1	24
arianna	1	0.9	40	1.0	907	9.5	24
arianna	1	0.9	40	1.3	1024	9.2	24
arianna	1	0.9	40	1.4	1039	8.7	24
arianna	1	0.9	0	1.0	908	7.8	24
arianna	1	0.9	0	1.3	876	7.4	24
arianna	1	0.9	0	1.4	995	9.6	24
arianna	1	1.0	40	1.0	1000	9.5	24
arianna	1	1.0	40	1.3	973	9.6	24
arianna	1	1.0	40	1.4	746	1.0	24
arianna	1	1.0	0	1.0	966	8.6	24
arianna	1	1.0	0	1.3	952	8.3	24
arianna	1	1.0	0	1.4	791	3.3	24
arianna	2	0.3	40	1.0	903	5.2	23
arianna	2	0.3	40	1.3	985	7.2	23
arianna	2	0.3	40	1.4	1002	7.1	23
arianna	2	0.3	0	1.0	902	5.3	23
arianna	2	0.3	0	1.3	984	7.5	23
arianna	2	0.3	0	1.4	1001	7.5	23
arianna	2	0.5	40	1.0	964	8.1	23
arianna	2	0.5	40	1.3	978	8.0	23
arianna	2	0.5	40	1.4	972	7.7	23
arianna	2	0.5	0	1.0	963	8.1	23
arianna	2	0.5	0	1.3	977	8.5	23
arianna	2	0.5	0	1.4	989	8.0	23
arianna	2	0.7	40	1.0	1021	7.0	23
arianna	2	0.7	40	1.3	1042	8.1	23
arianna	2	0.7	40	1.4	1042	7.9	23
arianna	2	0.7	0	1.0	922	6.6	23
arianna	2	0.7	0	1.3	1041	8.2	23
arianna	2	0.7	0	1.4	923	5.5	23
arianna	2	0.8	40	1.0	1007	8.1	23
arianna	2	0.8	40	1.3	1018	7.6	23
arianna	2	0.8	40	1.4	1046	8.2	23
arianna	2	0.8	0	1.0	946	8.3	23
arianna	2	0.8	0	1.3	959	8.1	23
arianna	2	0.8	0	1.4	1019	8.5	23
arianna	2	0.9	40	1.0	873	5.2	23
arianna	2	0.9	40	1.3	977	8.1	23
arianna	2	0.9	40	1.4	969	8.0	23
arianna	2	0.9	0	1.0	653	17.0	23
arianna	2	0.9	0	1.3	1009	7.6	23
arianna	2	0.9	0	1.4	806	0.6	23
arianna	2	1.0	40	1.0	1040	7.9	23
arianna	2	1.0	40	1.3	1016	8.1	23
arianna	2	1.0	40	1.4	1024	7.9	23
arianna	2	1.0	0	1.0	1017	8.5	23
arianna	2	1.0	0	1.3	994	6.8	23
arianna	2	1.0	0	1.4	1037	7.5	23
arianna	3	0.3	40	1.0	1040	9.5	25
arianna	3	0.3	40	1.3	1043	9.3	25
arianna	3	0.3	40	1.4	998	9.4	25
arianna	3	0.3	0	1.0	1039	9.7	25
arianna	3	0.3	0	1.3	1042	9.5	25
arianna	3	0.3	0	1.4	997	9.7	25
arianna	3	0.5	40	1.0	814	5.9	25
arianna	3	0.5	40	1.3	1010	9.4	25
arianna	3	0.5	40	1.4	1016	9.4	25
arianna	3	0.5	0	1.0	813	6.2	25
arianna	3	0.5	0	1.3	1009	9.7	25
arianna	3	0.5	0	1.4	1015	9.8	25
arianna	3	0.7	40	1.0	955	9.6	25
arianna	3	0.7	40	1.3	937	8.8	25
arianna	3	0.7	40	1.4	934	9.6	25
arianna	3	0.7	0	1.0	955	10.0	25
arianna	3	0.7	0	1.3	948	9.8	25
arianna	3	0.7	0	1.4	967	9.9	25
arianna	3	0.8	40	1.0	873	7.6	25
arianna	3	0.8	40	1.3	657	4.6	25
arianna	3	0.8	40	1.4	971	9.7	25
arianna	3	0.8	0	1.0	872	7.9	25
arianna	3	0.8	0	1.3	671	4.2	25
arianna	3	0.8	0	1.4	974	9.7	25
arianna	3	0.9	40	1.0	662	2.5	25
arianna	3	0.9	40	1.3	755	2.6	25
arianna	3	0.9	40	1.4	703	0.0	25
arianna	3	0.9	0	1.0	939	9.9	25
arianna	3	0.9	0	1.3	647	9.4	25
arianna	3	0.9	0	1.4	671	4.5	25
arianna	3	1.0	40	1.0	961	9.1	25
arianna	3	1.0	40	1.3	816	5.0	25
arianna	3	1.0	40	1.4	966	8.1	25
arianna	3	1.0	0	1.0	807	4.6	25
arianna	3	1.0	0	1.3	1008	9.2	25
arianna	3	1.0	0	1.4	801	4.6	25
yent	1	0.3	40	1.0	905	9.3	24
yent	1	0.3	40	1.3	921	8.0	24
yent	1	0.3	40	1.4	979	8.8	24
yent	1	0.3	0	1.0	904	9.4	24
yent	1	0.3	0	1.3	920	8.6	24
yent	1	0.3	0	1.4	978	9.3	24
yent	1	0.5	40	1.0	922	9.3	24
yent	1	0.5	40	1.3	929	9.3	24
yent	1	0.5	40	1.4	884	9.4	24
yent	1	0.5	0	1.0	921	9.6	24
yent	1	0.5	0	1.3	928	9.6	24
yent	1	0.5	0	1.4	883	9.7	24
yent	1	0.7	40	1.0	902	9.3	24
yent	1	0.7	40	1.3	950	9.0	24
yent	1	0.7	40	1.4	910	8.9	24
yent	1	0.7	0	1.0	889	9.4	24
yent	1	0.7	0	1.3	957	9.5	24
yent	1	0.7	0	1.4	917	7.1	24
yent	1	0.8	40	1.0	935	9.3	24
yent	1	0.8	40	1.3	955	9.6	24
yent	1	0.8	40	1.4	947	9.4	24
yent	1	0.8	0	1.0	858	9.6	24
yent	1	0.8	0	1.3	925	9.7	24
yent	1	0.8	0	1.4	659	6.8	24
yent	1	0.9	40	1.0	973	9.3	24
yent	1	0.9	40	1.3	980	9.2	24
yent	1	0.9	40	1.4	926	9.3	24
yent	1	0.9	0	1.0	1004	9.2	24
yent	1	0.9	0	1.3	912	9.8	24
yent	1	0.9	0	1.4	768	1.9	24
yent	1	1.0	40	1.0	891	9.2	24
yent	1	1.0	40	1.3	924	9.3	24
yent	1	1.0	40	1.4	724	1.7	24
yent	1	1.0	0	1.0	968	9.6	24
yent	1	1.0	0	1.3	916	9.7	24
yent	1	1.0	0	1.4	920	9.7	24
yent	2	0.3	40	1.0	957	8.1	23
yent	2	0.3	40	1.3	999	8.1	23
yent	2	0.3	40	1.4	1009	8.2	23
yent	2	0.3	0	1.0	956	8.3	23
yent	2	0.3	0	1.3	998	8.4	23
yent	2	0.3	0	1.4	1008	8.5	23
yent	2	0.5	40	1.0	974	8.2	23
yent	2	0.5	40	1.3	983	8.2	23
yent	2	0.5	40	1.4	961	8.2	23
yent	2	0.5	0	1.0	978	7.8	23
yent	2	0.5	0	1.3	982	8.2	23
yent	2	0.5	0	1.4	960	8.4	23
yent	2	0.7	40	1.0	1024	8.1	23
yent	2	0.7	40	1.3	1017	8.0	23
yent	2	0.7	40	1.4	975	8.1	23
yent	2	0.7	0	1.0	960	8.6	23
yent	2	0.7	0	1.3	979	8.3	23
yent	2	0.7	0	1.4	1027	8.1	23
yent	2	0.8	40	1.0	960	8.2	23
yent	2	0.8	40	1.3	991	8.1	23
yent	2	0.8	40	1.4	993	8.0	23
yent	2	0.8	0	1.0	993	8.2	23
yent	2	0.8	0	1.3	1008	8.4	23
yent	2	0.8	0	1.4	1013	8.1	23
yent	2	0.9	40	1.0	936	7.9	23
yent	2	0.9	40	1.3	1025	8.1	23
yent	2	0.9	40	1.4	1002	7.9	23
yent	2	0.9	0	1.0	933	8.6	23
yent	2	0.9	0	1.3	952	8.2	23
yent	2	0.9	0	1.4	1001	8.4	23
yent	2	1.0	40	1.0	985	7.9	23
yent	2	1.0	40	1.3	995	8.1	23
yent	2	1.0	40	1.4	967	8.2	23
yent	2	1.0	0	1.0	985	8.2	23
yent	2	1.0	0	1.3	977	8.4	23
yent	2	1.0	0	1.4	1020	8.3	23
yent	3	0.3	40	1.0	760	5.0	25
yent	3	0.3	40	1.3	947	9.6	25
yent	3	0.3	40	1.4	914	5.9	25
yent	3	0.3	0	1.0	759	5.1	25
yent	3	0.3	0	1.3	946	7.2	25
yent	3	0.3	0	1.4	913	8.4	25
yent	3	0.5	40	1.0	910	9.6	25
yent	3	0.5	40	1.3	840	6.5	25
yent	3	0.5	40	1.4	937	8.3	25
yent	3	0.5	0	1.0	909	9.8	25
yent	3	0.5	0	1.3	959	10.0	25
yent	3	0.5	0	1.4	936	8.7	25
yent	3	0.7	40	1.0	989	9.6	25
yent	3	0.7	40	1.3	963	9.7	25
yent	3	0.7	40	1.4	950	9.6	25
yent	3	0.7	0	1.0	902	10.1	25
yent	3	0.7	0	1.3	919	9.8	25
yent	3	0.7	0	1.4	982	10.0	25
yent	3	0.8	40	1.0	813	6.0	25
yent	3	0.8	40	1.3	946	9.0	25
yent	3	0.8	40	1.4	916	9.5	25
yent	3	0.8	0	1.0	931	9.6	25
yent	3	0.8	0	1.3	959	9.8	25
yent	3	0.8	0	1.4	939	9.6	25
yent	3	0.9	40	1.0	946	9.5	25
yent	3	0.9	40	1.3	939	9.6	25
yent	3	0.9	40	1.4	946	9.5	25
yent	3	0.9	0	1.0	917	9.7	25
yent	3	0.9	0	1.3	783	5.8	25
yent	3	0.9	0	1.4	918	7.9	25
yent	3	1.0	40	1.0	952	9.3	25
yent	3	1.0	40	1.3	807	6.2	25
yent	3	1.0	40	1.4	900	9.7	25
yent	3	1.0	0	1.0	828	6.2	25
yent	3	1.0	0	1.3	1026	9.8	25
yent	3	1.0	0	1.4	968	9.6	25
resonance-yent	1	0.3	40	1.0	180	NA	NA
resonance-yent	1	0.3	40	1.3	180	NA	NA
resonance-yent	1	0.3	40	1.4	180	NA	NA
resonance-yent	1	0.3	0	1.0	179	NA	NA
resonance-yent	1	0.3	0	1.3	179	NA	NA
resonance-yent	1	0.3	0	1.4	179	NA	NA
resonance-yent	1	0.5	40	1.0	180	NA	NA
resonance-yent	1	0.5	40	1.3	180	NA	NA
resonance-yent	1	0.5	40	1.4	180	NA	NA
resonance-yent	1	0.5	0	1.0	179	NA	NA
resonance-yent	1	0.5	0	1.3	179	NA	NA
resonance-yent	1	0.5	0	1.4	179	NA	NA
resonance-yent	1	0.7	40	1.0	180	NA	NA
resonance-yent	1	0.7	40	1.3	180	NA	NA
resonance-yent	1	0.7	40	1.4	180	NA	NA
resonance-yent	1	0.7	0	1.0	179	NA	NA
resonance-yent	1	0.7	0	1.3	179	NA	NA
resonance-yent	1	0.7	0	1.4	179	NA	NA
resonance-yent	1	0.8	40	1.0	180	NA	NA
resonance-yent	1	0.8	40	1.3	180	NA	NA
resonance-yent	1	0.8	40	1.4	180	NA	NA
resonance-yent	1	0.8	0	1.0	179	NA	NA
resonance-yent	1	0.8	0	1.3	179	NA	NA
resonance-yent	1	0.8	0	1.4	179	NA	NA
resonance-yent	1	0.9	40	1.0	180	NA	NA
resonance-yent	1	0.9	40	1.3	180	NA	NA
resonance-yent	1	0.9	40	1.4	180	NA	NA
resonance-yent	1	0.9	0	1.0	179	NA	NA
resonance-yent	1	0.9	0	1.3	179	NA	NA
resonance-yent	1	0.9	0	1.4	179	NA	NA
resonance-yent	1	1.0	40	1.0	180	NA	NA
resonance-yent	1	1.0	40	1.3	180	NA	NA
resonance-yent	1	1.0	40	1.4	180	NA	NA
resonance-yent	1	1.0	0	1.0	179	NA	NA
resonance-yent	1	1.0	0	1.3	179	NA	NA
resonance-yent	1	1.0	0	1.4	179	NA	NA
resonance-yent	2	0.3	40	1.0	180	NA	NA
resonance-yent	2	0.3	40	1.3	180	NA	NA
resonance-yent	2	0.3	40	1.4	180	NA	NA
resonance-yent	2	0.3	0	1.0	179	NA	NA
resonance-yent	2	0.3	0	1.3	179	NA	NA
resonance-yent	2	0.3	0	1.4	179	NA	NA
resonance-yent	2	0.5	40	1.0	180	NA	NA
resonance-yent	2	0.5	40	1.3	180	NA	NA
resonance-yent	2	0.5	40	1.4	180	NA	NA
resonance-yent	2	0.5	0	1.0	179	NA	NA
resonance-yent	2	0.5	0	1.3	179	NA	NA
resonance-yent	2	0.5	0	1.4	179	NA	NA
resonance-yent	2	0.7	40	1.0	180	NA	NA
resonance-yent	2	0.7	40	1.3	180	NA	NA
resonance-yent	2	0.7	40	1.4	180	NA	NA
resonance-yent	2	0.7	0	1.0	179	NA	NA
resonance-yent	2	0.7	0	1.3	179	NA	NA
resonance-yent	2	0.7	0	1.4	179	NA	NA
resonance-yent	2	0.8	40	1.0	180	NA	NA
resonance-yent	2	0.8	40	1.3	180	NA	NA
resonance-yent	2	0.8	40	1.4	180	NA	NA
resonance-yent	2	0.8	0	1.0	179	NA	NA
resonance-yent	2	0.8	0	1.3	179	NA	NA
resonance-yent	2	0.8	0	1.4	179	NA	NA
resonance-yent	2	0.9	40	1.0	180	NA	NA
resonance-yent	2	0.9	40	1.3	180	NA	NA
resonance-yent	2	0.9	40	1.4	180	NA	NA
resonance-yent	2	0.9	0	1.0	179	NA	NA
resonance-yent	2	0.9	0	1.3	179	NA	NA
resonance-yent	2	0.9	0	1.4	179	NA	NA
resonance-yent	2	1.0	40	1.0	180	NA	NA
resonance-yent	2	1.0	40	1.3	180	NA	NA
resonance-yent	2	1.0	40	1.4	180	NA	NA
resonance-yent	2	1.0	0	1.0	179	NA	NA
resonance-yent	2	1.0	0	1.3	179	NA	NA
resonance-yent	2	1.0	0	1.4	179	NA	NA
resonance-yent	3	0.3	40	1.0	180	NA	NA
resonance-yent	3	0.3	40	1.3	180	NA	NA
resonance-yent	3	0.3	40	1.4	180	NA	NA
resonance-yent	3	0.3	0	1.0	179	NA	NA
resonance-yent	3	0.3	0	1.3	179	NA	NA
resonance-yent	3	0.3	0	1.4	179	NA	NA
resonance-yent	3	0.5	40	1.0	180	NA	NA
resonance-yent	3	0.5	40	1.3	180	NA	NA
resonance-yent	3	0.5	40	1.4	180	NA	NA
