voice	prompt	temp	top_p	bytes	tok_per_s	toks
resonance-yent	1	0.3	0.9	902	7.3	19
resonance-yent	1	0.3	1.0	926	7.3	19
resonance-yent	1	0.5	0.9	948	7.3	19
resonance-yent	1	0.5	1.0	876	7.3	19
resonance-yent	1	0.7	0.9	887	7.3	19
resonance-yent	1	0.7	1.0	952	7.3	19
resonance-yent	1	0.8	0.9	972	7.3	19
resonance-yent	1	0.8	1.0	924	7.3	19
resonance-yent	1	0.9	0.9	871	7.3	19
resonance-yent	1	0.9	1.0	996	7.3	19
resonance-yent	1	1.0	0.9	928	7.2	19
resonance-yent	1	1.0	1.0	805	7.3	19
resonance-yent	2	0.3	0.9	945	7.3	17
resonance-yent	2	0.3	1.0	967	7.4	17
resonance-yent	2	0.5	0.9	954	7.3	17
resonance-yent	2	0.5	1.0	941	7.2	17
resonance-yent	2	0.7	0.9	926	7.4	17
resonance-yent	2	0.7	1.0	918	7.3	17
resonance-yent	2	0.8	0.9	869	7.4	17
resonance-yent	2	0.8	1.0	961	7.3	17
resonance-yent	2	0.9	0.9	930	7.3	17
resonance-yent	2	0.9	1.0	919	7.3	17
resonance-yent	2	1.0	0.9	935	7.3	17
resonance-yent	2	1.0	1.0	948	7.3	17
resonance-yent	3	0.3	0.9	843	7.0	16
resonance-yent	3	0.3	1.0	821	7.3	16
resonance-yent	3	0.5	0.9	719	7.2	16
resonance-yent	3	0.5	1.0	848	7.2	16
resonance-yent	3	0.7	0.9	926	7.2	16
resonance-yent	3	0.7	1.0	936	7.2	16
resonance-yent	3	0.8	0.9	935	7.2	16
resonance-yent	3	0.8	1.0	879	7.0	16
resonance-yent	3	0.9	0.9	805	7.2	16
resonance-yent	3	0.9	1.0	858	7.2	16
resonance-yent	3	1.0	0.9	790	7.3	16
resonance-yent	3	1.0	1.0	936	7.2	16
